Bereich,Anforderung,Status,Code-Hinweis,Risiko,Empfohlene Korrektur
Übungskatalog,Eindeutige Übungen ohne Duplikate,vorhanden,"Phase 5: 95 eindeutige Einträge; obsolete Doppelung Sprinter Iso Holds entfernt, Sprinter Iso Hold bleibt kanonisch.",niedrig,Beibehalten.
Übungskatalog,Copenhagen als Einzelübung entfernt,vorhanden,False,niedrig,Beibehalten.
Übungskatalog,Squat mit Overhead,vorhanden,"['Back', 'Front', 'Goblet', 'Overhead']",niedrig,Beibehalten.
Übungskatalog,"Varianten/Hilfsmittel direkt sichtbar, keine Anzeige-Buttons",vorhanden,Buttons: 0/0,niedrig,Beibehalten.
Übungskatalog,Suche nach Hilfsmittel/Variante,vorhanden,equipment search refs=3,niedrig,Beibehalten.
Übungskatalog,Hilfsmittel optional in Planerstellung/Partnerbearbeitung,vorhanden,"Phase 4: zentrale 0/1/>1-Policy in Plan- und Partnerkonfiguration; 1 Hilfsmittel implizit, >1 optional auswählbar.",niedrig,Mit Katalog-Diff in Phase 5 gegen alle Übungen prüfen.
Übungskatalog,Calf Raises vorhanden,vorhanden,Phase 5: kanonischer Name Calf Raises; Legacy-Alias Calf Raise bleibt für bestehende gespeicherte Pläne lesbar.,niedrig,Beibehalten.
Zeittraining,Nur Zeit | Play | Leistung; kein KG/SW/km,vorhanden,"S/W=0, distanceInjector=0, Leistung=4",niedrig,DOM-Test ergänzen.
Zeittraining,0:00 Pause bleibt 0 und wird nicht 1:30,vorhanden,Phase 9: zentrale restSeconds/finiteOr-Logik; alle produktiven rest||90-Fallbacks entfernt; Einstellungen unterstützen Keine=0.,niedrig,Beibehalten; auf Gerät 0:00 in Einzel- und Partnertraining prüfen.
Pläne,Keine doppelten Plannamen,vorhanden,Phase 12: normalisierte zentrale Unique-Prüfung für Create/Rename/Save; Duplizieren erzeugt proaktiv freien Namen; saveAll bleibt Persistenz-Guard.,niedrig,Beibehalten; auf Gerät Create/Rename/Duplicate einmal durchklicken.
Pläne,Alle Parameter unabhängig und vollständig gespeichert,vorhanden,Phase 4: kanonische ExerciseConfig-Pipeline; Formwerte werden vor jedem Rerender in den Draft übernommen; Methodenwechsel bewahrt unabhängige Werte.,niedrig,Auf iPhone als Szenariotest durchklicken.
Pläne,1 Satz bei Standard/Superset/Giant,vorhanden,Phase 4: zentrale Satzregeln; Standard/Superset/Giant/Pre-Exhaust enthalten 1 Satz.,niedrig,Sondermethoden nur methodisch begründet eingeschränkt lassen.
